id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,lat,lon,location
"12530107","JE431964","2021-11-02T21:35:00.000","067XX S LAFLIN ST","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","0725","007","16","67","03","1167493","1860140","2021","2021-11-09T15:48:47.000","41.771771745","-87.661578515","
,  
(41.771771745, -87.661578515)"
"12530194","JE432008","2021-11-02T23:36:00.000","014XX W FULTON ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1215","012","27","28","03","1166764","1901971","2021","2021-11-09T15:48:47.000","41.886575887","-87.663054403","
,  
(41.886575887, -87.663054403)"
"12529739","JE431379","2021-11-02T12:11:00.000","111XX S VINCENNES AVE","0325","ROBBERY","VEHICULAR HIJACKING","GAS STATION","false","false","2234","022","34","75","03","1166985","1830593","2021","2021-11-09T15:48:47.000","41.690701233","-87.664282585","
,  
(41.690701233, -87.664282585)"
"12530048","JE431768","2021-11-02T18:00:00.000","108XX S DREW ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","2212","022","19","75","03","1167045","1832893","2021","2021-11-09T15:48:47.000","41.69701154","-87.663997487","
,  
(41.69701154, -87.663997487)"
"12529306","JE430953","2021-11-02T06:30:00.000","045XX W MADISON ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1113","011","28","26","03","1146233","1899633","2021","2022-02-08T15:47:25.000","41.880575458","-87.73850942","
,  
(41.880575458, -87.73850942)"
"12530149","JE432015","2021-11-02T23:20:00.000","044XX S WASHTENAW AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0922","009","15","58","03","1159107","1875216","2021","2021-11-09T15:48:47.000","41.813317962","-87.69190672","
,  
(41.813317962, -87.69190672)"
"12530983","JE433011","2021-11-03T18:51:00.000","060XX N HERMITAGE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","2433","024","40","77","03","1163666","1940429","2021","2021-11-10T15:51:56.000","41.992172603","-87.673343704","
,  
(41.992172603, -87.673343704)"
"12531131","JE433193","2021-11-03T22:50:00.000","054XX N MILWAUKEE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1622","016","45","11","03","1136931","1935843","2021","2021-11-10T15:51:56.000","41.980111511","-87.771795209","
,  
(41.980111511, -87.771795209)"
"12531087","JE432918","2021-11-03T17:40:00.000","114XX S ST LAWRENCE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0531","005","9","50","03","1182295","1829053","2021","2021-11-10T15:51:56.000","41.686135281","-87.608279432","
,  
(41.686135281, -87.608279432)"
"12531965","JE433125","2021-11-03T21:06:00.000","033XX W 84TH PL","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0834","008","18","70","03","1155581","1848363","2021","2021-11-10T15:51:56.000","41.739700789","-87.7055594","
,  
(41.739700789, -87.7055594)"
"12531252","JE433255","2021-11-04T01:04:00.000","001XX W 127TH ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","GAS STATION","false","false","0523","005","9","53","03","1177579","1820730","2021","2021-11-11T15:51:52.000","41.663403306","-87.625793875","
,  
(41.663403306, -87.625793875)"
"12531996","JE434182","2021-11-04T18:28:00.000","013XX W FLETCHER ST","0325","ROBBERY","VEHICULAR HIJACKING","RESIDENCE - GARAGE","false","false","1933","019","32","6","03","1166806","1921032","2021","2021-11-11T15:51:52.000","41.938879548","-87.662352575","
,  
(41.938879548, -87.662352575)"
"12531387","JE433545","2021-11-04T05:15:00.000","076XX S VINCENNES AVE","0325","ROBBERY","VEHICULAR HIJACKING","GAS STATION","false","false","0623","006","17","69","03","1175511","1854480","2021","2021-11-11T15:51:52.000","41.756064436","-87.632356295","
,  
(41.756064436, -87.632356295)"
"12532077","JE433347","2021-11-04T01:00:00.000","043XX S LAKE PARK AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0222","002","4","39","03","1184545","1876563","2021","2021-11-11T15:51:52.000","41.816455303","-87.598557379","
,  
(41.816455303, -87.598557379)"
"12531422","JE433488","2021-11-04T09:15:00.000","013XX S AVERS AVE","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1011","010","24","29","03","1150922","1893602","2021","2021-11-11T15:51:52.000","41.863935243","-87.721449563","
,  
(41.863935243, -87.721449563)"
"12531315","JE433239","2021-11-04T00:53:00.000","004XX N LARAMIE AVE","0325","ROBBERY","VEHICULAR HIJACKING","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","1532","015","28","25","03","1141629","1902341","2021","2021-11-11T15:51:52.000","41.888092864","-87.755348129","
,  
(41.888092864, -87.755348129)"
"12532859","JE435357","2021-11-05T19:59:00.000","092XX S MAY ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","RESIDENCE","false","false","2222","022","21","73","03","1170278","1843538","2021","2021-11-12T15:53:14.000","41.726153485","-87.651851618","
,  
(41.726153485, -87.651851618)"
"12532148","JE434435","2021-11-05T01:50:00.000","011XX S KOSTNER AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1131","011","24","29","03","1147229","1894520","2021","2021-11-12T15:53:14.000","41.866525776","-87.73498304","
,  
(41.866525776, -87.73498304)"
"12532670","JE434959","2021-11-05T14:00:00.000","014XX S CAMPUS PKWY","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","ALLEY","false","false","1232","012","11","28","03","1170990","1893399","2021","2021-11-12T15:53:14.000","41.862962077","-87.647786985","
,  
(41.862962077, -87.647786985)"
"12532776","JE435289","2021-11-05T19:05:00.000","034XX W 21ST ST","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","1024","010","24","29","03","1153647","1889840","2021","2021-11-12T15:53:14.000","41.853558154","-87.71154616","
,  
(41.853558154, -87.71154616)"
"12532718","JE435288","2021-11-05T19:10:00.000","055XX S WOOD ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","VEHICLE NON-COMMERCIAL","false","false","0715","007","15","67","03","1165296","1867828","2021","2021-11-12T15:53:14.000","41.792915409","-87.669414428","
,  
(41.792915409, -87.669414428)"
"12532199","JE434505","2021-11-05T05:44:00.000","030XX W 63RD ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","GAS STATION","false","false","0823","008","17","66","03","1157036","1862703","2021","2021-11-12T15:53:14.000","41.779022733","-87.699841543","
,  
(41.779022733, -87.699841543)"
"12532188","JE434500","2021-11-05T05:00:00.000","065XX S KEDZIE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0831","008","17","66","03","1156172","1861266","2021","2021-11-12T15:53:14.000","41.775096813","-87.703047685","
,  
(41.775096813, -87.703047685)"
"12533831","JE436544","2021-11-06T21:58:00.000","016XX N MAYFIELD AVE","0325","ROBBERY","VEHICULAR HIJACKING","STREET","true","false","2531","025","29","25","03","1136841","1910349","2021","2022-03-07T15:49:11.000","41.91015497","-87.772739398","
,  
(41.91015497, -87.772739398)"
"12533148","JE435650","2021-11-06T04:00:00.000","014XX N KEYSTONE AVE","0325","ROBBERY","VEHICULAR HIJACKING","STREET","false","false","2534","025","26","23","03","1149120","1909301","2021","2021-11-13T15:47:30.000","41.907050074","-87.727657924","
,  
(41.907050074, -87.727657924)"
"12532989","JE435626","2021-11-06T02:00:00.000","065XX S KEDZIE AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0831","008","17","66","03","1156180","1860916","2021","2021-11-13T15:47:30.000","41.7741362","-87.703027762","
,  
(41.7741362, -87.703027762)"
"12533655","JE436206","2021-11-06T15:36:00.000","074XX S WESTERN AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","AUTO / BOAT / RV DEALERSHIP","false","false","0835","008","18","66","03","1161663","1855340","2021","2021-11-13T15:47:30.000","41.758722825","-87.683082516","
,  
(41.758722825, -87.683082516)"
"12533570","JE436230","2021-11-06T16:45:00.000","015XX W GRAND AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","GAS STATION","false","false","1215","012","1","24","03","1165894","1903574","2021","2021-11-13T15:47:30.000","41.890993242","-87.666203484","
,  
(41.890993242, -87.666203484)"
"12533792","JE436228","2021-11-06T16:00:00.000","034XX W 87TH ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","CEMETARY","false","false","0834","008","18","70","03","1155058","1846684","2021","2021-11-13T15:47:30.000","41.735103781","-87.707520346","
,  
(41.735103781, -87.707520346)"
"12533696","JE436398","2021-11-06T19:10:00.000","026XX S HALSTED ST","0325","ROBBERY","VEHICULAR HIJACKING","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0914","009","11","60","03","1171409","1886852","2021","2021-11-13T15:47:30.000","41.844987389","-87.646441144","
,  
(41.844987389, -87.646441144)"
"12534574","JE436477","2021-11-06T21:19:00.000","002XX N LAFLIN ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","1215","012","27","28","03","1166429","1901640","2021","2021-11-13T15:47:30.000","41.885674771","-87.664294079","
,  
(41.885674771, -87.664294079)"
"12533695","JE436385","2021-11-06T18:40:00.000","004XX E 33RD ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0211","002","4","35","03","1179504","1883151","2021","2021-11-13T15:47:30.000","41.834650079","-87.616847182","
,  
(41.834650079, -87.616847182)"
"12534575","JE436232","2021-11-06T16:50:00.000","084XX S PHILLIPS AVE","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","false","false","0423","004","7","46","03","1193970","1849533","2021","2021-11-13T15:47:30.000","41.742056827","-87.564871057","
,  
(41.742056827, -87.564871057)"
